,Place,Firstname,Lastname,Gender,Solo or Duo,Status,StartDate,Checkpoint_1,Checkpoint_2,Checkpoint_3,Checkpoint_4,Checkpoint_5,Checkpoint_6,Checkpoint_7,Checkpoint_8,Checkpoint_9,Checkpoint_fin
0,1,Joris,Cosyn,male,Solo,Finisher,2018-05-01 08:00:00,2018-05-01 13:38:00,2018-05-02 01:17:00,2018-05-02 05:22:00,2018-05-02 10:22:00,2018-05-02 16:02:00,2018-05-03 06:28:00,2018-05-03 11:36:00,2018-05-04 05:54:00,2018-05-04 19:20:00,2018-05-05 14:24:00
1,2,Tjerk,Bakker,male,Solo,Finisher,2018-05-01 08:00:00,2018-05-01 14:35:00,2018-05-02 09:15:00,2018-05-02 13:17:00,empty,2018-05-03 07:01:00,2018-05-03 14:34:00,2018-05-03 19:30:00,2018-05-04 16:03:00,2018-05-05 08:59:00,2018-05-05 18:48:00
2,3,Colin,James,male,Solo,Finisher,2018-05-01 08:00:00,2018-05-01 14:08:00,2018-05-02 08:32:00,2018-05-02 11:53:00,2018-05-02 16:51:00,2018-05-03 04:11:00,2018-05-03 12:32:00,2018-05-03 17:34:00,2018-05-04 12:10:00,2018-05-05 07:54:00,2018-05-05 19:22:00
3,4,Jason,Schreurs,male,Solo,Finisher,2018-05-01 08:00:00,2018-05-01 13:27:00,2018-05-02 10:08:00,2018-05-02 12:52:00,2018-05-02 17:36:00,2018-05-03 08:16:00,2018-05-03 14:51:00,2018-05-03 19:30:00,2018-05-04 16:35:00,2018-05-05 11:05:00,2018-05-05 21:30:00
4,5,Erik,Wallinga,male,Solo,Finisher,2018-05-01 08:00:00,2018-05-01 14:25:00,2018-05-02 04:13:00,2018-05-02 07:50:00,2018-05-02 13:42:00,2018-05-02 20:00:00,2018-05-03 14:13:00,2018-05-03 18:40:00,2018-05-04 20:22:00,2018-05-05 09:53:00,2018-05-05 22:39:00
5,6,Ralph,Cullen,male,Solo,Finisher,2018-05-01 08:00:00,2018-05-01 14:04:00,2018-05-02 06:54:00,empty,2018-05-02 15:08:00,2018-05-02 21:02:00,2018-05-03 08:01:00,2018-05-03 21:44:00,2018-05-04 15:58:00,2018-05-05 12:03:00,2018-05-06 06:34:00
6,7,Adam,Verhaar,male,Solo,Finisher,2018-05-01 08:00:00,2018-05-01 14:05:00,2018-05-02 11:40:00,2018-05-02 14:23:00,2018-05-02 20:05:00,2018-05-03 11:25:00,2018-05-03 18:19:00,2018-05-04 08:58:00,2018-05-05 09:27:00,2018-05-05 20:47:00,2018-05-06 16:23:00
7,8,James,Holmes,male,Solo,Finisher,2018-05-01 08:00:00,2018-05-01 14:34:00,2018-05-02 12:39:00,2018-05-02 16:10:00,2018-05-02 21:40:00,2018-05-03 12:40:00,2018-05-03 21:58:00,2018-05-04 11:19:00,2018-05-05 12:51:00,2018-05-06 07:42:00,2018-05-06 21:03:00
8,9,Jamie,Robison,male,Solo,Finisher,2018-05-01 08:00:00,2018-05-01 15:15:00,2018-05-02 17:50:00,2018-05-02 21:43:00,2018-05-03 09:12:00,2018-05-03 16:17:00,2018-05-04 11:34:00,2018-05-04 17:16:00,2018-05-05 18:05:00,2018-05-06 16:47:00,2018-05-07 12:13:00
9,10,Onno,Zuidema,male,Solo,Finisher,2018-05-01 08:00:00,2018-05-01 14:38:00,2018-05-02 18:11:00,2018-05-03 08:27:00,2018-05-03 13:50:00,2018-05-04 08:03:00,2018-05-04 15:58:00,2018-05-04 20:36:00,2018-04-29 07:48:00,2018-04-29 19:18:00,2018-04-30 16:47:00
10,11,Dean,Strike,male,Solo,Finisher,2018-05-01 08:00:00,2018-05-01 16:19:00,2018-05-02 16:32:00,2018-05-02 21:48:00,2018-05-03 14:20:00,2018-05-03 20:35:00,2018-05-04 14:53:00,2018-05-04 21:31:00,empty,2018-04-29 22:40:00,2018-04-30 19:45:00
11,12,Rutger,van Valderen,male,Solo,Finisher,2018-05-01 08:00:00,2018-05-01 16:00:00,2018-05-02 16:57:00,2018-05-03 07:48:00,2018-05-03 13:43:00,2018-05-04 07:19:00,2018-05-04 15:41:00,2018-05-05 07:40:00,2018-05-06 09:06:00,2018-05-07 06:29:00,2018-05-07 20:24:00
12,13,Erik,Venneman,male,Solo,Finisher,2018-05-01 08:00:00,2018-05-01 14:19:00,2018-05-02 12:15:00,2018-05-02 16:11:00,2018-05-03 08:17:00,2018-05-03 15:27:00,2018-05-04 11:54:00,2018-05-04 19:07:00,2018-04-29 07:53:00,2018-04-30 08:01:00,2018-04-30 23:57:00
13,14,Marc,Wismans,male,Solo,Finisher,2018-05-01 08:00:00,2018-05-01 15:40:00,2018-05-02 19:19:00,2018-05-03 12:01:00,2018-05-03 19:10:00,2018-05-04 12:09:00,2018-05-04 21:39:00,2018-05-05 12:09:00,2018-05-06 17:08:00,2018-05-07 15:02:00,2018-05-08 16:55:00
14,15,William Luke,Windsor,male,Solo,Finisher,2018-05-01 08:00:00,2018-05-01 16:25:00,2018-05-03 08:27:00,2018-05-03 12:46:00,2018-05-03 17:57:00,empty,2018-05-04 18:57:00,2018-05-05 09:19:00,2018-05-06 12:36:00,2018-05-07 12:58:00,empty
15,999,Thijs,DSQ Verbrugghe,male,Solo,DNF,2018-05-01 08:00:00,2018-05-01 13:22:00,2018-05-01 23:24:00,2018-05-02 04:29:00,2018-05-02 08:53:00,2018-05-02 14:03:00,2018-05-03 00:42:00,2018-05-03 06:06:00,2018-05-03 19:51:00,2018-05-04 10:23:00,empty
16,999,Julia,Freeman,female,Solo,DNF,2018-05-01 08:00:00,2018-05-01 17:56:00,empty,empty,empty,empty,empty,empty,empty,empty,empty
